x,Curve1
0.0706714,383.383
0.777385,375.922
1.20141,371.33
1.62544,366.737
2.04947,362.145
2.54417,358.131
3.88693,345.508
4.38163,341.493
4.87633,336.903
5.08834,335.182
5.58304,331.168
6.07774,326.578
8.55124,307.656
9.04594,303.642
9.61131,299.629
11.0247,289.886
11.5901,286.449
12.0848,283.01
12.6502,279.573
13.2155,276.136
15.1237,265.255
15.689,262.394
16.3251,258.959
16.8905,256.098
18.8693,247.521
20,243.525
21.6961,235.516
22.6855,229.214
23.6749,220.034
24.4523,212.574
25.2297,205.69
25.6537,201.673
26.1484,197.083
26.5724,193.067
27.5618,182.736
28.9046,175.868
30.1767,166.696
31.3781,159.248
31.8728,156.385
32.4382,154.099
33.7102,147.229
34.7703,142.08
35.5477,138.073
36.0424,135.785
36.6784,133.502
38.0919,127.787
38.7279,125.503
39.364,122.644
40.2827,119.217
41.1307,116.939
42.0495,113.512
42.8269,112.384
