x,Curve1
-0.0499198,3591.84
0.808623,3592.75
1.8108,3590.1
2.59805,3589.22
3.31374,3588.34
4.24397,3588.36
5.03109,3588.38
6.96323,3587.53
8.46591,3587.57
10.8273,3587.62
14.5483,3586.81
16.6234,3586.86
17.2673,3587.76
18.1262,3586
18.7705,3584.23
19.8439,3584.25
20.6308,3585.16
21.4177,3586.96
22.2762,3587.87
23.2069,3585.22
23.8513,3582.55
24.6394,3575.43
25.2133,3565.63
25.8599,3547.79
26.3626,3535.31
26.7222,3522.82
26.8703,3488.91
26.9462,3459.45
27.1634,3441.61
27.3765,3452.32
27.662,3457.68
28.3061,3456.81
29.1657,3450.58
32.1047,3414.94
34.1117,3391.78
36.1182,3371.3
38.2678,3351.71
40.7751,3332.13
43.2106,3314.33
