x,Curve1
-0.0270522,2.72043
0.734047,2.72043
1.57971,2.72043
3.44018,2.72043
6.40001,2.72043
8.93701,2.72043
11.2203,2.72043
14.8567,2.72043
17.14,2.72043
18.6622,2.72043
19.1691,2.69892
19.7599,2.64516
20.3501,2.55914
20.7711,2.47312
21.6115,2.22581
22.4511,1.93548
23.0383,1.70968
24.2126,1.25806
25.2206,0.935484
25.8103,0.827957
26.3166,0.774194
26.9083,0.763441
27.3327,0.83871
27.7576,0.935484
29.6274,1.37634
31.9221,1.91398
33.7921,2.36559
35.4918,2.76344
37.0218,3.12903
38.6367,3.51613
40.0814,3.84946
41.2715,4.13978
43.2263,4.60215
