x,Curve1
-0.044949,5.2372
0.313857,5.18633
0.744213,5.08442
1.46169,4.95714
2.10749,4.85536
2.8251,4.75363
3.47103,4.6774
4.11696,4.60117
4.69107,4.52489
5.40882,4.44871
6.05488,4.39803
6.77275,4.34739
7.41881,4.29671
8.13668,4.24607
8.78274,4.19539
9.50061,4.14475
10.5776,4.09435
11.8698,4.01853
13.234,3.96831
14.0954,3.89221
14.8134,3.86713
15.5312,3.81649
16.177,3.71471
16.8228,3.61293
17.3966,3.46002
17.8983,3.2815
18.3283,3.10295
18.8305,3.00108
19.6212,3.15487
20.3421,3.69182
20.6317,4.15186
20.7776,4.58626
20.9946,4.89297
21.2115,5.17413
21.3564,5.4297
21.573,5.65976
21.8621,6.01761
22.0074,6.34982
22.1524,6.60539
22.2255,6.86091
22.3704,7.11648
22.5152,7.3465
22.5884,7.60202
22.8785,8.16425
23.0968,8.72643
23.3145,9.16088
23.4609,9.69747
23.6787,10.1575
23.8241,10.5152
23.8973,10.7707
23.9704,11.0263
24.0435,11.2818
24.1909,12.0227
24.4815,12.6616
24.6983,12.9428
25.0582,13.0963
25.5605,13.02
25.9902,12.7903
26.2752,12.3562
26.6321,11.9221
26.702,11.5645
26.8412,10.696
26.9793,9.62307
27.0449,8.39684
27.1871,8.1159
27.4012,7.86057
27.6873,7.63082
28.0451,7.40112
28.2593,7.14579
28.6173,6.94164
28.9034,6.71189
29.2611,6.45664
30.0477,5.79291
30.4054,5.53767
30.6916,5.33347
30.9778,5.12927
31.1922,4.92503
31.5502,4.72088
31.908,4.46563
32.2659,4.23594
32.8387,3.90419
33.2685,3.70008
33.6982,3.47043
34.1281,3.26632
34.5579,3.06222
34.9876,2.83257
35.7764,2.60314
36.7799,2.24612
37.999,1.91478
38.86,1.76205
39.8644,1.55831
40.8688,1.38012
41.8737,1.27857
43.3087,1.02401
