x,Curve1
0,2.19708
1.1449,2.19781
2.7907,2.19886
4.72272,2.2001
6.36852,2.20115
8.15742,2.20229
9.73166,2.2033
11.1628,2.20421
12.8801,2.20531
14.7406,2.20649
16.1717,2.20741
17.6744,2.20837
19.034,2.20924
19.678,2.1841
20.1789,2.13333
20.966,2.03164
21.9678,1.85345
22.7549,1.70066
23.6852,1.49688
24.4007,1.34405
25.0447,1.24227
25.5456,1.1915
25.9034,1.16618
26.3327,1.14091
26.7621,1.14118
27.4061,1.21823
28.551,1.37225
29.7674,1.52631
30.9123,1.68033
32.3435,1.86007
33.4168,2.01404
34.4902,2.14247
36.2075,2.37349
37.9249,2.60451
39.4991,2.8099
41.3596,3.04101
43.0769,3.27204
