x,Curve1
0.353357,120.217
0.989399,122.018
1.41343,123.099
1.69611,123.747
2.89753,126.054
3.25088,126.63
4.09894,127.928
4.80565,129.01
6.00707,130.453
6.85512,131.176
8.05654,132.331
8.62191,132.693
9.11661,133.054
11.0954,134.285
12.3675,134.865
13.4982,135.444
15.3357,136.098
16.8198,136.319
18.6572,136.974
20.7774,137.197
21.4841,137.272
22.6855,137.708
23.1802,138.501
23.8869,138.647
24.5936,139.513
25.159,140.882
25.7951,142.827
26.0071,144.482
26.3604,145.778
26.4311,146.498
26.5724,147.218
26.7845,149.377
26.8551,151.032
27.0671,152.328
27.3498,153.12
27.9152,153.985
28.6219,154.563
29.3286,154.926
30.1767,155.288
30.8834,155.435
31.5194,155.581
32.2261,155.584
32.9329,155.658
33.6396,155.733
35.053,155.738
35.7597,155.812
36.4664,155.815
37.1731,155.817
37.8799,155.82
38.5866,155.822
39.2933,155.825
41.1307,155.831
41.8375,155.834
42.5442,155.836
