x,Curve1
0.0,0.897409
1.05276,0.897866
1.89845,0.898323
2.74413,0.898781
3.58982,0.899238
4.43551,0.899695
8.15652,0.901706
9.00221,0.902163
9.84789,0.90262
12.1312,0.903855
12.9769,0.904312
13.8226,0.904769
14.6683,0.905226
15.514,0.905683
16.3597,0.90614
17.8819,0.906963
18.7276,0.90742
19.5728,0.897066
20.1639,0.875764
21.0087,0.854599
21.7689,0.833389
23.4589,0.80187
24.3041,0.791516
25.1498,0.791973
26.1669,0.846577
26.9298,0.890232
30.1448,0.924403
30.9905,0.92486
31.8362,0.925317
32.6823,0.936585
33.528,0.937042
34.8811,0.937774
35.7272,0.949042
36.5729,0.949499
37.4186,0.949956
38.2647,0.961224
39.9561,0.962138
42.5777,0.963556
44,0.963556
